"","items","LLTModel$betapar","LLTModel$se.beta"
"1","S1WantCurse",2.05732136087884,0.0763495744291766
"2","S1WantScold",1.00520069441877,0.0698981479484069
"3","S1WantShout",0.0184680695075645,0.0669451026476373
"4","S2WantCurse",2.05732136087884,0.0763495744291766
"5","S2WantScold",1.00520069441877,0.0698981479484069
"6","S2WantShout",0.0184680695075645,0.0669451026476373
"7","S3WantCurse",1.03032465261045,0.0419948657656817
"8","S3WantScold",-0.0217960138496209,0.0392405345131566
"9","S3WantShout",-1.00852863876083,0.0425433161593979
"10","S4WantCurse",1.03032465261045,0.0419948657656817
"11","S4WantScold",-0.0217960138496209,0.0392405345131566
"12","S4WantShout",-1.00852863876083,0.0425433161593979
"13","S1DoCurse",1.38611634190292,0.0904389187582495
"14","S1DoScold",0.333995675442845,0.0877728949149442
"15","S1DoShout",-0.652736949468364,0.0879601653887195
"16","S2DoCurse",1.38611634190292,0.0904389187582495
"17","S2DoScold",0.333995675442845,0.0877728949149442
"18","S2DoShout",-0.652736949468364,0.0879601653887195
"19","S3DoCurse",0.359119633634522,0.0675689931386385
"20","S3DoScold",-0.693001032825549,0.0693556711196536
"21","S3DoShout",-1.67973365773676,0.0742787806105724
"22","S4DoCurse",0.359119633634522,0.0675689931386385
"23","S4DoScold",-0.693001032825549,0.0693556711196536
"24","S4DoShout",-1.67973365773676,0.0742787806105724
